x y
41.9519 -73.3584
41.9519 -73.3584
41.9519 -73.3584
41.9436 -73.3717
41.9457 -73.3712
41.9476 -73.3696
41.9493 -73.3671
41.9507 -73.3636
41.9517 -73.3596
41.9522 -73.3549
41.9522 -73.3501
41.9517 -73.3455
41.9508 -73.3411
41.9494 -73.3374
41.9476 -73.3345
41.9457 -73.3326
41.9436 -73.3318
41.9415 -73.3321
41.9395 -73.3334
41.9377 -73.3358
41.9362 -73.339
41.9351 -73.3429
41.9344 -73.3473
41.9343 -73.3518
41.9346 -73.3564
41.9354 -73.3608
41.9366 -73.3646
41.9383 -73.3678
41.9402 -73.3701
41.9423 -73.3715
41.9444 -73.3716
41.9464 -73.3708
41.9483 -73.3688
41.95 -73.3658
41.9511 -73.3621
41.9519 -73.3577
41.9523 -73.3529
41.9521 -73.3483
41.9514 -73.3436
41.9502 -73.3395
41.9487 -73.3361
41.9468 -73.3336
41.9448 -73.3322
41.9427 -73.3318
41.9407 -73.3325
41.9387 -73.3343
41.937 -73.3371
41.9357 -73.3405
41.9347 -73.3447
41.9343 -73.3492
41.9343 -73.3537
41.9349 -73.3583
41.9359 -73.3624
41.9373 -73.366
41.939 -73.3689
41.941 -73.3708
41.9431 -73.3716
41.9452 -73.3714
41.9472 -73.3701
41.949 -73.3677
41.9505 -73.3644
41.9515 -73.3603
41.9521 -73.3559
41.9522 -73.3511
41.9519 -73.3464
41.951 -73.342
41.9497 -73.3381
41.948 -73.335
41.9461 -73.3329
41.944 -73.3319
41.9419 -73.332
41.9399 -73.3331
41.938 -73.3353
41.9364 -73.3384
41.9353 -73.342
41.9345 -73.3464
41.9342 -73.3508
41.9345 -73.3555
41.9352 -73.36
41.9364 -73.3638
41.9379 -73.3672
41.9398 -73.3698
41.9418 -73.3712
41.9439 -73.3717
41.946 -73.371
41.9479 -73.3693
41.9496 -73.3665
41.9509 -73.3629
41.9518 -73.3586
41.9522 -73.3541
41.9521 -73.3492
41.9516 -73.3445
41.9505 -73.3404
41.9491 -73.3368
41.9473 -73.3341
41.9453 -73.3324
41.9432 -73.3318
41.9411 -73.3323
41.9391 -73.3338
41.9374 -73.3364
41.936 -73.3396
41.9349 -73.3437
41.9343 -73.3481
41.9343 -73.3526
41.9347 -73.3572
41.9356 -73.3615
41.937 -73.3653
41.9386 -73.3683
41.9406 -73.3705
41.9427 -73.3716
41.9447 -73.3716
41.9468 -73.3705
41.9487 -73.3683
41.9502 -73.3653
41.9513 -73.3613
41.952 -73.3568
41.9523 -73.3522
41.952 -73.3474
41.9512 -73.3428
41.95 -73.3388
41.9484 -73.3356
41.9465 -73.3333
41.9445 -73.332
41.9424 -73.3318
41.9403 -73.3328
41.9384 -73.3347
41.9368 -73.3376
41.9355 -73.3412
41.9346 -73.3455
41.9343 -73.3499
41.9344 -73.3546
41.935 -73.3591
41.9361 -73.3631
41.9376 -73.3666
41.9394 -73.3693
41.9414 -73.371
41.9435 -73.3717
41.9456 -73.3712
41.9475 -73.3698
41.9493 -73.3672
41.9507 -73.3637
41.9517 -73.3595
41.9522 -73.355
41.9522 -73.3502
41.9517 -73.3455
41.9507 -73.3411
41.9494 -73.3375
41.9477 -73.3345
41.9457 -73.3326
41.9436 -73.3318
41.9415 -73.3321
41.9395 -73.3335
41.9377 -73.3358
41.9362 -73.339
41.9351 -73.3428
41.9344 -73.3472
41.9343 -73.3518
41.9346 -73.3563
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9436 -73.3717
41.9457 -73.3712
41.9476 -73.3696
41.9493 -73.3671
41.9507 -73.3636
41.9517 -73.3594
41.9522 -73.3549
41.9522 -73.3501
41.9517 -73.3455
41.9508 -73.3411
41.9494 -73.3374
41.9476 -73.3345
41.9457 -73.3326
41.9436 -73.3318
41.9415 -73.3321
41.9395 -73.3334
41.9377 -73.3358
41.9361 -73.3391
41.9351 -73.3429
41.9344 -73.3473
41.9343 -73.3519
41.9346 -73.3564
41.9354 -73.3608
41.9367 -73.3647
41.9383 -73.3678
41.9402 -73.3701
41.9423 -73.3715
41.9444 -73.3716
41.9464 -73.3708
41.9483 -73.3688
41.95 -73.3658
41.9511 -73.3621
41.9519 -73.3577
41.9523 -73.3529
41.9521 -73.3483
41.9514 -73.3436
41.9502 -73.3395
41.9487 -73.3361
41.9469 -73.3336
41.9448 -73.3322
41.9427 -73.3318
41.9407 -73.3325
41.9387 -73.3343
41.937 -73.3371
41.9357 -73.3405
41.9347 -73.3447
41.9343 -73.3492
41.9343 -73.3537
41.9349 -73.3583
41.9359 -73.3625
41.9373 -73.366
41.939 -73.3689
41.941 -73.3708
41.9432 -73.3716
41.9452 -73.3714
41.9473 -73.3701
41.9491 -73.3676
41.9505 -73.3644
41.9515 -73.3603
41.9521 -73.3557
41.9527 -73.3465
41.9527 -73.3465
41.9527 -73.3465
41.9609 -73.3325
41.9589 -73.3332
41.9569 -73.3349
41.9552 -73.3376
41.9538 -73.3412
41.9528 -73.3453
41.9523 -73.35
41.9523 -73.3548
41.9528 -73.3594
41.9538 -73.3638
41.9551 -73.3677
41.9569 -73.3708
41.9588 -73.3728
41.9609 -73.3738
41.9631 -73.3737
41.965 -73.3725
41.9669 -73.3701
41.9684 -73.3667
41.9694 -73.3627
41.9701 -73.358
41.9702 -73.353
41.9699 -73.3482
41.9691 -73.3435
41.9678 -73.3394
41.9662 -73.3361
41.9643 -73.3339
41.9622 -73.3327
41.9601 -73.3326
41.9581 -73.3337
41.9562 -73.3359
41.9546 -73.339
41.9534 -73.3428
41.9526 -73.3472
41.9523 -73.352
41.9525 -73.3568
41.9531 -73.3613
41.9543 -73.3655
41.9558 -73.3691
41.9577 -73.3718
41.9597 -73.3734
41.9618 -73.3739
41.9639 -73.3733
41.9658 -73.3716
41.9675 -73.3688
41.9689 -73.3651
41.9698 -73.3608
41.9702 -73.356
41.9702 -73.3509
41.9696 -73.3462
41.9686 -73.3417
41.9672 -73.3379
41.9655 -73.3351
41.9635 -73.3333
41.9614 -73.3325
41.9593 -73.3329
41.9573 -73.3345
41.9555 -73.337
41.954 -73.3404
41.953 -73.3445
41.9524 -73.349
41.9523 -73.3538
41.9527 -73.3585
41.9535 -73.363
41.9548 -73.3669
41.9565 -73.3702
41.9584 -73.3724
41.9605 -73.3737
41.9626 -73.3738
41.9646 -73.3728
41.9665 -73.3707
41.9681 -73.3675
41.9692 -73.3636
41.97 -73.359
41.9703 -73.354
41.97 -73.3492
41.9693 -73.3444
41.9681 -73.3402
41.9666 -73.3368
41.9647 -73.3343
41.9627 -73.3328
41.9606 -73.3326
41.9585 -73.3334
41.9566 -73.3353
41.9549 -73.3382
41.9536 -73.3419
41.9527 -73.3463
41.9523 -73.3508
41.9524 -73.3557
41.953 -73.3604
41.954 -73.3646
41.9554 -73.3683
41.9572 -73.3712
41.9592 -73.373
41.9613 -73.3739
41.9634 -73.3736
41.9654 -73.3721
41.9671 -73.3696
41.9686 -73.366
41.9696 -73.3619
41.9702 -73.3571
41.9702 -73.3521
41.9698 -73.3473
41.9689 -73.3427
41.9675 -73.3387
41.9658 -73.3356
41.964 -73.3336
41.9618 -73.3326
41.9598 -73.3327
41.9577 -73.334
41.9559 -73.3364
41.9544 -73.3395
41.9532 -73.3435
41.9525 -73.3481
41.9523 -73.3527
41.9525 -73.3575
41.9533 -73.3621
41.9545 -73.3662
41.9561 -73.3695
41.958 -73.3721
41.96 -73.3735
41.9622 -73.3739
41.9642 -73.3731
41.9661 -73.3712
41.9678 -73.3682
41.969 -73.3645
41.9699 -73.36
41.9702 -73.355
41.9701 -73.3502
41.9695 -73.3454
41.9684 -73.341
41.9669 -73.3375
41.9651 -73.3347
41.9631 -73.333
41.961 -73.3325
41.9589 -73.3331
41.9569 -73.3349
41.9552 -73.3375
41.9538 -73.3411
41.9528 -73.3453
41.9523 -73.3499
41.9523 -73.3547
41.9528 -73.3594
41.9537 -73.3637
41.9551 -73.3676
41.9568 -73.3707
41.9588 -73.3728
41.9609 -73.3738
41.963 -73.3737
41.965 -73.3724
41.9668 -73.3702
41.9683 -73.3668
41.9694 -73.3627
41.9701 -73.3581
41.9703 -73.3531
41.9699 -73.3481
41.9699 -73.3481
41.9699 -73.3481
41.9699 -73.3481
41.9699 -73.3481
41.9699 -73.3481
41.9699 -73.3481
41.9699 -73.3481
41.9699 -73.3481
41.9699 -73.3481
41.9609 -73.3325
41.9589 -73.3332
41.9569 -73.3349
41.9552 -73.3376
41.9538 -73.3412
41.9528 -73.3453
41.9523 -73.35
41.9523 -73.3548
41.9528 -73.3594
41.9538 -73.3638
41.9551 -73.3677
41.9569 -73.3708
41.9588 -73.3728
41.9609 -73.3738
41.9631 -73.3737
41.965 -73.3725
41.9669 -73.3701
41.9684 -73.3667
41.9695 -73.3625
41.9701 -73.358
41.9702 -73.353
41.9699 -73.348
41.9691 -73.3435
41.9678 -73.3394
41.9662 -73.3361
41.9643 -73.3339
41.9622 -73.3327
41.9601 -73.3326
41.9581 -73.3337
41.9562 -73.3359
41.9546 -73.3389
41.9534 -73.3428
41.9526 -73.3472
41.9523 -73.352
41.9524 -73.3567
41.9531 -73.3613
41.9543 -73.3655
41.9558 -73.369
41.9576 -73.3717
41.9597 -73.3734
41.9618 -73.3739
41.9638 -73.3734
41.9658 -73.3716
41.9675 -73.3688
41.9689 -73.3651
41.9698 -73.3608
41.9702 -73.356
41.9702 -73.3509
41.9696 -73.3462
41.9686 -73.3417
41.9672 -73.3379
41.9655 -73.3351
41.9635 -73.3333
41.9613 -73.3325
41.9593 -73.3329
41.9573 -73.3345
41.9555 -73.3371
41.954 -73.3404
41.953 -73.3445
41.9524 -73.3492
41.9523 -73.3538
41.9527 -73.3586
41.9536 -73.3631
41.9549 -73.3671
41.9565 -73.3702
41.9585 -73.3725
41.9606 -73.3737
41.9699 -73.4023
41.9699 -73.4023
41.9699 -73.4023
41.9616 -73.4153
41.9637 -73.415
41.9656 -73.4136
41.9674 -73.411
41.9687 -73.4076
41.9697 -73.4033
41.9702 -73.3986
41.9702 -73.3937
41.9697 -73.3887
41.9688 -73.3843
41.9674 -73.3802
41.9656 -73.3771
41.9636 -73.3749
41.9616 -73.374
41.9595 -73.3741
41.9575 -73.3753
41.9557 -73.3776
41.9542 -73.3809
41.953 -73.3849
41.9524 -73.3892
41.9523 -73.394
41.9526 -73.3989
41.9534 -73.4033
41.9548 -73.4076
41.9563 -73.4109
41.9583 -73.4135
41.9604 -73.415
41.9624 -73.4153
41.9645 -73.4146
41.9664 -73.4126
41.968 -73.4096
41.9692 -73.4058
41.97 -73.4014
41.9703 -73.3965
41.97 -73.3914
41.9693 -73.3867
41.9682 -73.3824
41.9666 -73.3787
41.9648 -73.3761
41.9628 -73.3744
41.9606 -73.3739
41.9586 -73.3745
41.9566 -73.3762
41.9549 -73.379
41.9536 -73.3824
41.9527 -73.3867
41.9523 -73.3914
41.9524 -73.396
41.9529 -73.4008
41.9539 -73.4052
41.9553 -73.409
41.9571 -73.4121
41.9591 -73.4142
41.9612 -73.4153
41.9633 -73.4152
41.9653 -73.4139
41.9671 -73.4115
41.9685 -73.4083
41.9696 -73.4041
41.9701 -73.3995
41.9702 -73.3946
41.9698 -73.3896
41.969 -73.385
41.9676 -73.3809
41.966 -73.3777
41.9641 -73.3753
41.962 -73.3741
41.9598 -73.374
41.9578 -73.375
41.956 -73.3771
41.9544 -73.3802
41.9532 -73.3841
41.9525 -73.3884
41.9523 -73.3932
41.9525 -73.3979
41.9533 -73.4026
41.9545 -73.4068
41.956 -73.4104
41.9579 -73.413
41.9599 -73.4148
41.9621 -73.4153
41.9641 -73.4148
41.966 -73.4131
41.9677 -73.4103
41.969 -73.4067
41.9699 -73.4023
41.9702 -73.3975
41.9701 -73.3926
41.9695 -73.3877
41.9685 -73.3832
41.967 -73.3795
41.9652 -73.3765
41.9632 -73.3746
41.9611 -73.3739
41.959 -73.3743
41.957 -73.3758
41.9553 -73.3782
41.9539 -73.3817
41.9529 -73.3858
41.9523 -73.3902
41.9523 -73.3951
41.9528 -73.3998
41.9537 -73.4044
41.955 -73.4083
41.9567 -73.4115
41.9587 -73.4139
41.9607 -73.4151
41.9629 -73.4153
41.9649 -73.4142
41.9668 -73.4121
41.9683 -73.409
41.9694 -73.405
41.9701 -73.4004
41.9703 -73.3956
41.9699 -73.3906
41.9692 -73.3859
41.9679 -73.3817
41.9663 -73.3782
41.9644 -73.3756
41.9624 -73.3742
41.9603 -73.3739
41.9582 -73.3748
41.9563 -73.3766
41.9547 -73.3795
41.9534 -73.3833
41.9526 -73.3876
41.9523 -73.3922
41.9524 -73.3971
41.9531 -73.4018
41.9542 -73.4061
41.9557 -73.4097
41.9575 -73.4126
41.9596 -73.4146
41.9616 -73.4153
41.9638 -73.415
41.9657 -73.4135
41.9674 -73.4109
41.9688 -73.4074
41.9697 -73.4031
41.9702 -73.3985
41.9702 -73.3935
41.9697 -73.3885
41.9687 -73.3839
41.9673 -73.3801
41.9656 -73.377
41.9636 -73.3749
41.9615 -73.3739
41.9594 -73.3741
41.9573 -73.3754
41.9556 -73.3777
41.9541 -73.381
41.953 -73.385
41.9524 -73.3894
41.9523 -73.3942
41.9526 -73.3987
41.9526 -73.3987
41.9526 -73.3987
41.9526 -73.3987
41.9526 -73.3987
41.9526 -73.3987
41.9526 -73.3987
41.9526 -73.3987
41.9526 -73.3987
41.9526 -73.3987
41.9617 -73.4153
41.9637 -73.415
41.9657 -73.4135
41.9674 -73.4109
41.9688 -73.4075
41.9697 -73.4032
41.9702 -73.3986
41.9702 -73.3935
41.9697 -73.3886
41.9687 -73.3841
41.9673 -73.3801
41.9656 -73.377
41.9636 -73.3749
41.9615 -73.3739
41.9594 -73.3741
41.9574 -73.3754
41.9556 -73.3777
41.9541 -73.381
41.953 -73.385
41.9524 -73.3894
41.9523 -73.3942
41.9526 -73.399
41.9535 -73.4034
41.9548 -73.4076
41.9564 -73.411
41.9583 -73.4135
41.9604 -73.415
41.9625 -73.4153
41.9646 -73.4145
41.9664 -73.4126
41.968 -73.4096
41.9692 -73.4058
41.97 -73.4012
41.9703 -73.3965
41.97 -73.3914
41.9693 -73.3866
41.9682 -73.3824
41.9666 -73.3787
41.9648 -73.376
41.9628 -73.3744
41.9606 -73.3739
41.9585 -73.3745
41.9566 -73.3762
41.9549 -73.379
41.9536 -73.3826
41.9527 -73.3868
