x y
41.9519 -73.3584
41.9519 -73.3584
41.9519 -73.3584
41.9436 -73.3717
41.9457 -73.3712
41.9476 -73.3696
41.9493 -73.3671
41.9507 -73.3636
41.9517 -73.3596
41.9522 -73.3549
41.9522 -73.3501
41.9517 -73.3455
41.9508 -73.3411
41.9494 -73.3374
41.9476 -73.3345
41.9457 -73.3326
41.9436 -73.3318
41.9415 -73.3321
41.9395 -73.3334
41.9377 -73.3358
41.9362 -73.339
41.9351 -73.3429
41.9344 -73.3473
41.9343 -73.3518
41.9346 -73.3564
41.9354 -73.3608
41.9366 -73.3646
41.9383 -73.3678
41.9402 -73.3701
41.9423 -73.3715
41.9444 -73.3716
41.9464 -73.3708
41.9483 -73.3688
41.95 -73.3658
41.9511 -73.3621
41.9519 -73.3577
41.9523 -73.3529
41.9521 -73.3483
41.9514 -73.3436
41.9502 -73.3395
41.9487 -73.3361
41.9468 -73.3336
41.9448 -73.3322
41.9427 -73.3318
41.9407 -73.3325
41.9387 -73.3343
41.937 -73.3371
41.9357 -73.3405
41.9347 -73.3447
41.9343 -73.3492
41.9343 -73.3537
41.9349 -73.3583
41.9359 -73.3624
41.9373 -73.366
41.939 -73.3689
41.941 -73.3708
41.9431 -73.3716
41.9452 -73.3714
41.9472 -73.3701
41.949 -73.3677
41.9505 -73.3644
41.9515 -73.3603
41.9521 -73.3559
41.9522 -73.3511
41.9519 -73.3464
41.951 -73.342
41.9497 -73.3381
41.948 -73.335
41.9461 -73.3329
41.944 -73.3319
41.9419 -73.332
41.9399 -73.3331
41.938 -73.3353
41.9364 -73.3384
41.9353 -73.342
41.9345 -73.3464
41.9342 -73.3508
41.9345 -73.3555
41.9352 -73.36
41.9364 -73.3638
41.9379 -73.3672
41.9398 -73.3698
41.9418 -73.3712
41.9439 -73.3717
41.946 -73.371
41.9479 -73.3693
41.9496 -73.3665
41.9509 -73.3629
41.9518 -73.3586
41.9522 -73.3541
41.9521 -73.3492
41.9516 -73.3445
41.9505 -73.3404
41.9491 -73.3368
41.9473 -73.3341
41.9453 -73.3324
41.9432 -73.3318
41.9411 -73.3323
41.9391 -73.3338
41.9374 -73.3364
41.936 -73.3396
41.9349 -73.3437
41.9343 -73.3481
41.9343 -73.3526
41.9347 -73.3572
41.9356 -73.3615
41.937 -73.3653
41.9386 -73.3683
41.9406 -73.3705
41.9427 -73.3716
41.9447 -73.3716
41.9468 -73.3705
41.9487 -73.3683
41.9502 -73.3653
41.9513 -73.3613
41.952 -73.3568
41.9523 -73.3522
41.952 -73.3474
41.9512 -73.3428
41.95 -73.3388
41.9484 -73.3356
41.9465 -73.3333
41.9445 -73.332
41.9424 -73.3318
41.9403 -73.3328
41.9384 -73.3347
41.9368 -73.3376
41.9355 -73.3412
41.9346 -73.3455
41.9343 -73.3499
41.9344 -73.3546
41.935 -73.3591
41.9361 -73.3631
41.9376 -73.3666
41.9394 -73.3693
41.9414 -73.371
41.9435 -73.3717
41.9456 -73.3712
41.9475 -73.3698
41.9493 -73.3672
41.9507 -73.3637
41.9517 -73.3595
41.9522 -73.355
41.9522 -73.3502
41.9517 -73.3455
41.9507 -73.3411
41.9494 -73.3375
41.9477 -73.3345
41.9457 -73.3326
41.9436 -73.3318
41.9415 -73.3321
41.9395 -73.3335
41.9377 -73.3358
41.9362 -73.339
41.9351 -73.3428
41.9344 -73.3472
41.9343 -73.3518
41.9346 -73.3563
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9346 -73.3565
41.9436 -73.3717
41.9457 -73.3712
41.9476 -73.3696
41.9493 -73.3671
41.9507 -73.3636
41.9517 -73.3594
41.9522 -73.3549
41.9522 -73.3501
41.9517 -73.3455
41.9508 -73.3411
41.9494 -73.3374
41.9476 -73.3345
41.9457 -73.3326
41.9436 -73.3318
41.9415 -73.3321
41.9395 -73.3334
41.9377 -73.3358
41.9361 -73.3391
41.9351 -73.3429
41.9344 -73.3473
41.9343 -73.3519
41.9346 -73.3564
41.9354 -73.3608
41.9367 -73.3647
41.9383 -73.3678
41.9402 -73.3701
41.9423 -73.3715
41.9444 -73.3716
41.9464 -73.3708
41.9483 -73.3688
41.95 -73.3658
41.9511 -73.3621
41.9519 -73.3577
41.9523 -73.3529
41.9521 -73.3483
41.9514 -73.3436
41.9502 -73.3395
41.9487 -73.3361
41.9469 -73.3336
41.9448 -73.3322
41.9427 -73.3318
41.9407 -73.3325
41.9387 -73.3343
41.937 -73.3371
41.9357 -73.3405
41.9347 -73.3447
41.9343 -73.3492
41.9343 -73.3537
41.9349 -73.3583
41.9359 -73.3625
41.9373 -73.366
41.939 -73.3689
41.941 -73.3708
41.9432 -73.3716
41.9452 -73.3714
41.9473 -73.3701
41.9491 -73.3676
41.9505 -73.3644
41.9515 -73.3603
41.9521 -73.3557
41.9522 -73.3511
41.9518 -73.3463
41.951 -73.3418
41.9496 -73.338
41.948 -73.335
41.9461 -73.3329
41.944 -73.3319
41.9419 -73.332
41.9398 -73.3331
41.938 -73.3353
41.9364 -73.3384
41.9352 -73.3422
41.9345 -73.3464
41.9342 -73.351
41.9345 -73.3557
41.9352 -73.36
41.9364 -73.364
41.938 -73.3673
41.9398 -73.3698
41.9419 -73.3713
41.944 -73.3717
41.946 -73.371
41.948 -73.3693
41.9497 -73.3665
41.951 -73.3628
41.9518 -73.3586
41.9522 -73.3539
41.9521 -73.3491
41.9516 -73.3445
41.9505 -73.3403
41.949 -73.3367
41.9472 -73.334
41.9453 -73.3324
41.9431 -73.3318
41.941 -73.3323
41.9391 -73.3339
41.9373 -73.3365
41.9359 -73.3399
41.9349 -73.3438
41.9343 -73.3483
41.9343 -73.3529
41.9347 -73.3574
41.9357 -73.3617
41.937 -73.3654
41.9387 -73.3685
41.9406 -73.3705
41.9427 -73.3716
41.9449 -73.3715
41.9469 -73.3704
41.9487 -73.3682
41.9502 -73.365
41.9514 -73.3611
41.9521 -73.3567
41.9523 -73.3519
41.9519 -73.3471
41.9512 -73.3427
41.9499 -73.3386
41.9483 -73.3354
41.9464 -73.3332
41.9444 -73.332
41.9422 -73.3318
41.9402 -73.3329
41.9382 -73.3349
41.9367 -73.3378
41.9354 -73.3415
41.9346 -73.3458
41.9343 -73.3502
41.9344 -73.3549
41.9351 -73.3594
41.9362 -73.3633
41.9377 -73.3668
41.9395 -73.3694
41.9415 -73.3711
41.9436 -73.3717
41.9457 -73.3712
41.9477 -73.3696
41.9494 -73.367
41.9508 -73.3635
41.9517 -73.3592
41.9522 -73.3547
41.9522 -73.3499
41.9517 -73.3452
41.9507 -73.3408
41.9493 -73.3372
41.9475 -73.3344
41.9456 -73.3325
41.9435 -73.3318
41.9414 -73.3322
41.9393 -73.3336
41.9376 -73.3359
41.9361 -73.3392
41.935 -73.3432
41.9344 -73.3475
41.9343 -73.3521
41.9346 -73.3568
41.9355 -73.361
41.9368 -73.3649
41.9384 -73.368
41.9403 -73.3703
41.9424 -73.3715
41.9445 -73.3716
41.9466 -73.3706
41.9485 -73.3686
41.95 -73.3656
41.9512 -73.3618
41.952 -73.3573
41.9523 -73.3525
41.952 -73.3479
41.9513 -73.3433
41.9501 -73.3392
41.9486 -73.3359
41.9467 -73.3335
41.9447 -73.3321
41.9426 -73.3318
41.9405 -73.3326
41.9386 -73.3345
41.9369 -73.3373
41.9356 -73.3408
41.9351 -73.3428
41.9351 -73.3428
41.9351 -73.3428
41.9351 -73.3428
41.9351 -73.3428
41.9351 -73.3428
41.9516 -73.3598
41.9518 -73.359
41.9519 -73.3581
41.952 -73.3571
41.9521 -73.3562
41.9522 -73.3553
41.9522 -73.3543
41.9522 -73.3534
41.9523 -73.3524
41.9522 -73.3515
41.9522 -73.3505
41.9522 -73.3496
41.9521 -73.3486
41.952 -73.3477
41.9519 -73.3467
41.9518 -73.3458
41.9516 -73.3449
41.9515 -73.344
41.9513 -73.3431
41.9511 -73.3423
41.9508 -73.3415
41.9506 -73.3406
41.9504 -73.3398
41.9501 -73.3391
41.9498 -73.3384
41.9495 -73.3377
41.9492 -73.337
41.9489 -73.3364
41.9485 -73.3358
41.9482 -73.3353
41.9478 -73.3347
41.9475 -73.3343
41.9471 -73.3338
41.9467 -73.3334
41.9463 -73.3331
41.9459 -73.3328
41.9455 -73.3325
41.9451 -73.3322
41.9446 -73.3321
41.9442 -73.3319
41.9438 -73.3318
41.9434 -73.3318
41.943 -73.3318
41.9425 -73.3318
41.9421 -73.3319
41.9417 -73.332
41.9413 -73.3322
41.9409 -73.3324
41.9404 -73.3326
41.94 -73.3329
41.9397 -73.3333
41.9393 -73.3337
41.9389 -73.3341
41.9385 -73.3345
41.9382 -73.335
41.9378 -73.3355
41.9375 -73.3361
41.9372 -73.3367
41.9369 -73.3373
41.9366 -73.338
41.9363 -73.3387
41.936 -73.3394
41.9358 -73.3401
41.9356 -73.3409
41.9353 -73.3417
41.9352 -73.3425
41.935 -73.3433
41.9348 -73.3442
41.9347 -73.3451
41.9346 -73.3459
41.9345 -73.3468
41.9344 -73.3477
41.9343 -73.3486
41.9343 -73.3496
41.9343 -73.3505
41.9342 -73.3514
41.9343 -73.3524
41.9343 -73.3532
41.9344 -73.3542
41.9344 -73.3551
41.9345 -73.356
41.9347 -73.3569
41.9348 -73.3578
41.9349 -73.3587
41.9351 -73.3595
41.9353 -73.3604
41.9355 -73.3612
41.9357 -73.362
41.936 -73.3628
41.9363 -73.3636
41.9365 -73.3643
41.9368 -73.365
41.9371 -73.3657
41.9374 -73.3663
41.9378 -73.3669
41.9381 -73.3675
41.9385 -73.3681
41.9388 -73.3686
41.9392 -73.3691
41.9396 -73.3695
41.94 -73.3699
41.9404 -73.3703
41.9408 -73.3706
41.9412 -73.3709
41.9418 -73.3713
41.9418 -73.3713
41.9418 -73.3713
41.9418 -73.3713
41.9418 -73.3713
41.9973 -73.3136
41.9973 -73.3136
41.9973 -73.3141
41.9973 -73.3141
41.9973 -73.3136
41.9973 -73.3136
41.9973 -73.3136
41.9973 -73.3132
41.9973 -73.3132
41.9973 -73.3127
41.9973 -73.3127
41.9527 -73.4278
41.9527 -73.4278
41.9527 -73.4278
41.9608 -73.4152
41.9588 -73.4155
41.9568 -73.417
41.9551 -73.4195
41.9537 -73.4228
41.9528 -73.4269
41.9523 -73.4314
41.9523 -73.4362
41.9528 -73.441
41.9538 -73.4455
41.9552 -73.4495
41.9569 -73.4529
41.9589 -73.4552
41.961 -73.4565
41.9631 -73.4568
41.9651 -73.4558
41.9669 -73.4537
41.9684 -73.4506
41.9695 -73.4467
41.9701 -73.4421
41.9702 -73.4372
41.9699 -73.4323
41.9691 -73.4275
41.9678 -73.4232
41.9662 -73.4197
41.9642 -73.4171
41.9622 -73.4156
41.96 -73.4152
41.958 -73.416
41.9561 -73.4178
41.9545 -73.4207
41.9533 -73.4244
41.9525 -73.4286
41.9523 -73.4334
41.9525 -73.4382
41.9532 -73.4428
41.9543 -73.4472
41.9559 -73.451
41.9577 -73.454
41.9597 -73.4559
41.9619 -73.4568
41.964 -73.4565
41.9659 -73.4551
41.9676 -73.4525
41.9689 -73.4492
41.9698 -73.4449
41.9702 -73.4401
41.9702 -73.4352
41.9696 -73.4302
41.9686 -73.4256
41.9672 -73.4217
41.9654 -73.4185
41.9634 -73.4163
41.9613 -73.4153
41.9592 -73.4154
41.9573 -73.4166
41.9555 -73.4188
41.954 -73.4221
41.9529 -73.4261
41.9524 -73.4304
41.9523 -73.4352
41.9527 -73.4401
41.9536 -73.4446
41.9549 -73.4488
41.9566 -73.4522
41.9585 -73.4548
41.9606 -73.4564
41.9627 -73.4568
41.9647 -73.4561
41.9666 -73.4542
41.9681 -73.4513
41.9693 -73.4476
41.97 -73.4431
41.9703 -73.4384
41.97 -73.4333
41.9693 -73.4284
41.9681 -73.4241
41.9665 -73.4204
41.9647 -73.4175
41.9627 -73.4158
41.9605 -73.4152
41.9584 -73.4157
41.9565 -73.4173
41.9549 -73.42
41.9535 -73.4235
41.9527 -73.4277
41.9523 -73.4323
41.9524 -73.4371
41.953 -73.4419
41.954 -73.4462
41.9555 -73.4502
41.9573 -73.4534
41.9593 -73.4556
41.9614 -73.4567
41.9635 -73.4567
41.9654 -73.4555
41.9672 -73.4532
41.9686 -73.45
41.9696 -73.446
41.9702 -73.4413
41.9702 -73.4362
41.9698 -73.4314
41.9689 -73.4267
41.9675 -73.4225
41.9658 -73.4191
41.9639 -73.4167
41.9618 -73.4154
41.9596 -73.4153
41.9576 -73.4162
41.9558 -73.4183
41.9543 -73.4214
41.9532 -73.425
41.9525 -73.4295
41.9523 -73.4342
41.9526 -73.439
41.9533 -73.4437
41.9546 -73.4479
41.9561 -73.4515
41.958 -73.4543
41.9601 -73.4561
41.9623 -73.4568
41.9643 -73.4564
41.9662 -73.4547
41.9678 -73.452
41.9691 -73.4484
41.9699 -73.4441
41.9703 -73.4392
41.9701 -73.4343
41.9695 -73.4294
41.9684 -73.425
41.9669 -73.4211
41.9651 -73.418
41.963 -73.416
41.961 -73.4152
41.9588 -73.4155
41.9569 -73.417
41.9552 -73.4194
41.9538 -73.4227
41.9528 -73.4268
41.9523 -73.4313
41.9523 -73.4361
41.9528 -73.4409
41.9538 -73.4454
41.9552 -73.4494
41.9569 -73.4528
41.9589 -73.4552
41.9609 -73.4565
41.9631 -73.4568
41.9651 -73.4558
41.9669 -73.4538
41.9684 -73.4507
41.9694 -73.4468
41.9701 -73.4423
41.9702 -73.4373
41.9699 -73.4324
41.9699 -73.4324
41.9699 -73.4324
41.9699 -73.4324
41.9699 -73.4324
41.9699 -73.4324
41.9699 -73.4324
41.9699 -73.4324
41.9699 -73.4324
41.9699 -73.4324
41.9608 -73.4152
41.9588 -73.4155
41.9568 -73.417
41.9551 -73.4194
41.9537 -73.4228
41.9528 -73.4269
41.9523 -73.4314
41.9523 -73.4362
41.9528 -73.4409
41.9538 -73.4455
41.9552 -73.4495
41.9569 -73.4529
41.9589 -73.4553
41.961 -73.4565
41.9631 -73.4568
41.9651 -73.4558
41.9669 -73.4537
41.9684 -73.4506
41.9695 -73.4466
41.9701 -73.4421
41.9702 -73.4372
41.9699 -73.4321
41.9691 -73.4275
41.9678 -73.4232
41.9661 -73.4196
41.9642 -73.4171
41.9622 -73.4156
41.96 -73.4152
41.958 -73.416
41.9561 -73.4178
41.9545 -73.4207
41.9533 -73.4244
41.9525 -73.4286
41.9523 -73.4334
41.9525 -73.4382
