Settings === Total time = 1200, Number of Nodes = 13, Speed = 20
Time	Node	Pos_X	Pos_Y
1	1	0	8000
1	2	0	2000
1	3	0	2000
1	4	0	4000
1	5	0	6000
1	6	0	8000
1	7	5000	2000
1	8	5000	2000
1	9	5000	4000
1	10	5000	6000
1	11	5000	8000
1	12	10000	2000
1	13	9900	2000
2	1	20	8000
2	2	0	2020
2	3	20	2000
2	4	20	4000
2	5	20	6000
2	6	20	8000
2	7	5000	2020
2	8	5020	2000
2	9	5020	4000
2	10	5020	6000
2	11	5020	8000
2	12	10000	2020
2	13	9920	2000
3	1	40	8000
3	2	0	2040
3	3	40	2000
3	4	40	4000
3	5	40	6000
3	6	40	8000
3	7	5000	2040
3	8	5040	2000
3	9	5040	4000
3	10	5040	6000
3	11	5040	8000
3	12	10000	2040
3	13	9940	2000
4	1	60	8000
4	2	0	2060
4	3	60	2000
4	4	60	4000
4	5	60	6000
4	6	60	8000
4	7	5000	2060
4	8	5060	2000
4	9	5060	4000
4	10	5060	6000
4	11	5060	8000
4	12	10000	2060
4	13	9960	2000
5	1	80	8000
5	2	0	2080
5	3	80	2000
5	4	80	4000
5	5	80	6000
5	6	80	8000
5	7	5000	2080
5	8	5080	2000
5	9	5080	4000
5	10	5080	6000
5	11	5080	8000
5	12	10000	2080
5	13	9980	2000
6	1	100	8000
6	2	0	2100
6	3	100	2000
6	4	100	4000
6	5	100	6000
6	6	100	8000
6	7	5000	2100
6	8	5100	2000
6	9	5100	4000
6	10	5100	6000
6	11	5100	8000
6	12	10000	2100
6	13	10000	2000
7	1	80	8000
7	2	0	2120
7	3	120	2000
7	4	120	4000
7	5	120	6000
7	6	120	8000
7	7	5000	2120
7	8	5120	2000
7	9	5120	4000
7	10	5120	6000
7	11	5120	8000
7	12	10000	2120
7	13	9980	2000
8	1	60	8000
8	2	0	2140
8	3	140	2000
8	4	140	4000
8	5	140	6000
8	6	140	8000
8	7	5000	2140
8	8	5140	2000
8	9	5140	4000
8	10	5140	6000
8	11	5140	8000
8	12	10000	2140
8	13	9960	2000
9	1	40	8000
9	2	0	2160
9	3	160	2000
9	4	160	4000
9	5	160	6000
9	6	160	8000
9	7	5000	2160
9	8	5160	2000
9	9	5160	4000
9	10	5160	6000
9	11	5160	8000
9	12	10000	2160
9	13	9940	2000
10	1	20	8000
10	2	0	2180
10	3	180	2000
10	4	180	4000
10	5	180	6000
10	6	180	8000
10	7	5000	2180
10	8	5180	2000
10	9	5180	4000
10	10	5180	6000
10	11	5180	8000
10	12	10000	2180
10	13	9920	2000
11	1	0	8000
11	2	0	2200
11	3	200	2000
11	4	200	4000
11	5	200	6000
11	6	200	8000
11	7	5000	2200
11	8	5200	2000
11	9	5200	4000
11	10	5200	6000
11	11	5200	8000
11	12	10000	2200
11	13	9900	2000
12	1	20	8000
12	2	0	2220
12	3	220	2000
12	4	220	4000
12	5	220	6000
12	6	220	8000
12	7	5000	2220
12	8	5220	2000
12	9	5220	4000
12	10	5220	6000
12	11	5220	8000
12	12	10000	2220
12	13	9920	2000
13	1	40	8000
13	2	0	2240
13	3	240	2000
13	4	240	4000
13	5	240	6000
13	6	240	8000
13	7	5000	2240
13	8	5240	2000
13	9	5240	4000
13	10	5240	6000
13	11	5240	8000
13	12	10000	2240
13	13	9940	2000
14	1	60	8000
14	2	0	2260
14	3	260	2000
14	4	260	4000
14	5	260	6000
14	6	260	8000
14	7	5000	2260
14	8	5260	2000
14	9	5260	4000
14	10	5260	6000
14	11	5260	8000
14	12	10000	2260
14	13	9960	2000
15	1	80	8000
15	2	0	2280
15	3	280	2000
15	4	280	4000
15	5	280	6000
15	6	280	8000
15	7	5000	2280
15	8	5280	2000
15	9	5280	4000
15	10	5280	6000
15	11	5280	8000
15	12	10000	2280
15	13	9980	2000
16	1	100	8000
16	2	0	2300
16	3	300	2000
16	4	300	4000
16	5	300	6000
16	6	300	8000
16	7	5000	2300
16	8	5300	2000
16	9	5300	4000
16	10	5300	6000
16	11	5300	8000
16	12	10000	2300
16	13	10000	2000
17	1	80	8000
17	2	0	2320
17	3	320	2000
17	4	320	4000
17	5	320	6000
17	6	320	8000
17	7	5000	2320
17	8	5320	2000
17	9	5320	4000
17	10	5320	6000
17	11	5320	8000
17	12	10000	2320
17	13	9980	2000
18	1	60	8000
18	2	0	2340
18	3	340	2000
18	4	340	4000
18	5	340	6000
18	6	340	8000
18	7	5000	2340
18	8	5340	2000
18	9	5340	4000
18	10	5340	6000
18	11	5340	8000
18	12	10000	2340
18	13	9960	2000
19	1	40	8000
19	2	0	2360
19	3	360	2000
19	4	360	4000
19	5	360	6000
19	6	360	8000
19	7	5000	2360
19	8	5360	2000
19	9	5360	4000
19	10	5360	6000
19	11	5360	8000
19	12	10000	2360
19	13	9940	2000
20	1	20	8000
20	2	0	2380
20	3	380	2000
20	4	380	4000
20	5	380	6000
20	6	380	8000
20	7	5000	2380
20	8	5380	2000
20	9	5380	4000
20	10	5380	6000
20	11	5380	8000
20	12	10000	2380
20	13	9920	2000
21	1	0	8000
21	2	0	2400
21	3	400	2000
21	4	400	4000
21	5	400	6000
21	6	400	8000
21	7	5000	2400
21	8	5400	2000
21	9	5400	4000
21	10	5400	6000
21	11	5400	8000
21	12	10000	2400
21	13	9900	2000
22	1	20	8000
22	2	0	2420
22	3	420	2000
22	4	420	4000
22	5	420	6000
22	6	420	8000
22	7	5000	2420
22	8	5420	2000
22	9	5420	4000
22	10	5420	6000
22	11	5420	8000
22	12	10000	2420
22	13	9920	2000
23	1	40	8000
23	2	0	2440
23	3	440	2000
23	4	440	4000
23	5	440	6000
23	6	440	8000
23	7	5000	2440
23	8	5440	2000
23	9	5440	4000
23	10	5440	6000
23	11	5440	8000
23	12	10000	2440
23	13	9940	2000
24	1	60	8000
24	2	0	2460
24	3	460	2000
24	4	460	4000
24	5	460	6000
24	6	460	8000
24	7	5000	2460
24	8	5460	2000
24	9	5460	4000
24	10	5460	6000
24	11	5460	8000
24	12	10000	2460
24	13	9960	2000
25	1	80	8000
25	2	0	2480
25	3	480	2000
25	4	480	4000
25	5	480	6000
25	6	480	8000
25	7	5000	2480
25	8	5480	2000
25	9	5480	4000
25	10	5480	6000
25	11	5480	8000
25	12	10000	2480
25	13	9980	2000
26	1	100	8000
26	2	0	2500
26	3	500	2000
26	4	500	4000
26	5	500	6000
26	6	500	8000
26	7	5000	2500
26	8	5500	2000
26	9	5500	4000
26	10	5500	6000
26	11	5500	8000
26	12	10000	2500
26	13	10000	2000
27	1	80	8000
27	2	0	2520
27	3	520	2000
27	4	520	4000
27	5	520	6000
27	6	520	8000
27	7	5000	2520
27	8	5520	2000
27	9	5520	4000
27	10	5520	6000
27	11	5520	8000
27	12	10000	2520
27	13	9980	2000
28	1	60	8000
28	2	0	2540
28	3	540	2000
28	4	540	4000
28	5	540	6000
28	6	540	8000
28	7	5000	2540
28	8	5540	2000
28	9	5540	4000
28	10	5540	6000
28	11	5540	8000
28	12	10000	2540
28	13	9960	2000
29	1	40	8000
29	2	0	2560
29	3	560	2000
29	4	560	4000
29	5	560	6000
29	6	560	8000
29	7	5000	2560
29	8	5560	2000
29	9	5560	4000
29	10	5560	6000
29	11	5560	8000
29	12	10000	2560
29	13	9940	2000
30	1	20	8000
30	2	0	2580
30	3	580	2000
30	4	580	4000
30	5	580	6000
30	6	580	8000
30	7	5000	2580
30	8	5580	2000
30	9	5580	4000
30	10	5580	6000
30	11	5580	8000
30	12	10000	2580
30	13	9920	2000
31	1	0	8000
31	2	0	2600
31	3	600	2000
31	4	600	4000
31	5	600	6000
31	6	600	8000
31	7	5000	2600
31	8	5600	2000
31	9	5600	4000
31	10	5600	6000
31	11	5600	8000
31	12	10000	2600
31	13	9900	2000
32	1	20	8000
32	2	0	2620
32	3	620	2000
32	4	620	4000
32	5	620	6000
32	6	620	8000
32	7	5000	2620
32	8	5620	2000
32	9	5620	4000
32	10	5620	6000
32	11	5620	8000
32	12	10000	2620
32	13	9920	2000
33	1	40	8000
33	2	0	2640
33	3	640	2000
33	4	640	4000
33	5	640	6000
33	6	640	8000
33	7	5000	2640
33	8	5640	2000
33	9	5640	4000
33	10	5640	6000
33	11	5640	8000
33	12	10000	2640
33	13	9940	2000
34	1	60	8000
34	2	0	2660
34	3	660	2000
34	4	660	4000
34	5	660	6000
34	6	660	8000
