Settings === Total time = 5000, Number of Nodes = 27, Speed = 20
Time	 Node	 Pos_X	 Pos_Y
1 	 1 	 0 	 6600
1 	 2 	 6600 	 4200
1 	 3 	 1800 	 4200
1 	 4 	 1800 	 1800
1 	 5 	 1800 	 1800
1 	 6 	 1800 	 8400
1 	 7 	 1800 	 16200
1 	 8 	 4200 	 13200
1 	 9 	 1800 	 11400
1 	 10 	 6600 	 9000
1 	 11 	 4200 	 9000
1 	 12 	 11400 	 11400
1 	 13 	 6600 	 16800
1 	 14 	 6600 	 13200
1 	 15 	 6600 	 13800
1 	 16 	 11400 	 13800
1 	 17 	 13800 	 4200
1 	 18 	 13800 	 4200
1 	 19 	 16200 	 4200
1 	 20 	 16200 	 9000
1 	 21 	 13800 	 11400
1 	 22 	 18600 	 11400
1 	 23 	 13800 	 16200
1 	 24 	 21000 	 1800
1 	 25 	 21000 	 1800
1 	 26 	 21000 	 13800
1 	 27 	 23400 	 7800
2 	 1 	 20 	 6600
2 	 2 	 6600 	 4220
2 	 3 	 1820 	 4200
2 	 4 	 1800 	 1820
2 	 5 	 1820 	 1800
2 	 6 	 1800 	 8420
2 	 7 	 1820 	 16200
2 	 8 	 4200 	 13220
2 	 9 	 1820 	 11400
2 	 10 	 6600 	 9020
2 	 11 	 4220 	 9000
2 	 12 	 11400 	 11420
2 	 13 	 6620 	 16800
2 	 14 	 6600 	 13220
2 	 15 	 6620 	 13800
2 	 16 	 11420 	 13800
2 	 17 	 13800 	 4220
2 	 18 	 13820 	 4200
2 	 19 	 16200 	 4220
2 	 20 	 16220 	 9000
2 	 21 	 13820 	 11400
2 	 22 	 18600 	 11420
2 	 23 	 13820 	 16200
2 	 24 	 21020 	 1800
2 	 25 	 21000 	 1820
2 	 26 	 21020 	 13800
2 	 27 	 23400 	 7820
3 	 1 	 40 	 6600
3 	 2 	 6600 	 4240
3 	 3 	 1840 	 4200
3 	 4 	 1800 	 1840
3 	 5 	 1840 	 1800
3 	 6 	 1800 	 8440
3 	 7 	 1840 	 16200
3 	 8 	 4200 	 13240
3 	 9 	 1840 	 11400
3 	 10 	 6600 	 9040
3 	 11 	 4240 	 9000
3 	 12 	 11400 	 11440
3 	 13 	 6640 	 16800
3 	 14 	 6600 	 13240
3 	 15 	 6640 	 13800
3 	 16 	 11440 	 13800
3 	 17 	 13800 	 4240
3 	 18 	 13840 	 4200
3 	 19 	 16200 	 4240
3 	 20 	 16240 	 9000
3 	 21 	 13840 	 11400
3 	 22 	 18600 	 11440
3 	 23 	 13840 	 16200
3 	 24 	 21040 	 1800
3 	 25 	 21000 	 1840
3 	 26 	 21040 	 13800
3 	 27 	 23400 	 7840
4 	 1 	 60 	 6600
4 	 2 	 6600 	 4260
4 	 3 	 1860 	 4200
4 	 4 	 1800 	 1860
4 	 5 	 1860 	 1800
4 	 6 	 1800 	 8460
4 	 7 	 1860 	 16200
4 	 8 	 4200 	 13260
4 	 9 	 1860 	 11400
4 	 10 	 6600 	 9060
4 	 11 	 4260 	 9000
4 	 12 	 11400 	 11460
4 	 13 	 6660 	 16800
4 	 14 	 6600 	 13260
4 	 15 	 6660 	 13800
4 	 16 	 11460 	 13800
4 	 17 	 13800 	 4260
4 	 18 	 13860 	 4200
4 	 19 	 16200 	 4260
4 	 20 	 16260 	 9000
4 	 21 	 13860 	 11400
4 	 22 	 18600 	 11460
4 	 23 	 13860 	 16200
4 	 24 	 21060 	 1800
4 	 25 	 21000 	 1860
4 	 26 	 21060 	 13800
4 	 27 	 23400 	 7860
5 	 1 	 80 	 6600
5 	 2 	 6600 	 4280
5 	 3 	 1880 	 4200
5 	 4 	 1800 	 1880
5 	 5 	 1880 	 1800
5 	 6 	 1800 	 8480
5 	 7 	 1880 	 16200
5 	 8 	 4200 	 13280
5 	 9 	 1880 	 11400
5 	 10 	 6600 	 9080
5 	 11 	 4280 	 9000
5 	 12 	 11400 	 11480
5 	 13 	 6680 	 16800
5 	 14 	 6600 	 13280
5 	 15 	 6680 	 13800
5 	 16 	 11480 	 13800
5 	 17 	 13800 	 4280
5 	 18 	 13880 	 4200
5 	 19 	 16200 	 4280
5 	 20 	 16280 	 9000
5 	 21 	 13880 	 11400
5 	 22 	 18600 	 11480
5 	 23 	 13880 	 16200
5 	 24 	 21080 	 1800
5 	 25 	 21000 	 1880
5 	 26 	 21080 	 13800
5 	 27 	 23400 	 7880
6 	 1 	 100 	 6600
6 	 2 	 6600 	 4300
6 	 3 	 1900 	 4200
6 	 4 	 1800 	 1900
